id,value
OCSD.SanClemente.DISTURBANCE.LOITERINGONPRIVATEPROPERTTY,9
OCSD.SanClemente.DISTURBANCE.PUBLICNUISANCE,19
OCSD.SanClemente.DISTURBANCE.RAILROADTRESSPASSING,1
OCSD.SanClemente.DISTURBANCE.TRESPASSING,147
OCSD.SanClemente.DISTURBANCE.URINATINGINPUBLIC,2
OCSD.SanClemente.DRUGS/INTOXICATION,
OCSD.SanClemente.DRUGS/INTOXICATION.DRIVINGUNDERTHEINFLUENCE,227
OCSD.SanClemente.DRUGS/INTOXICATION.DRUNKINPUBLIC,59
OCSD.SanClemente.DRUGS/INTOXICATION.NARCOTICVIOLATION,244
OCSD.SanClemente.DRUGS/INTOXICATION.NARCOTICVIOLATIONMISDEMEANOR,148
OCSD.SanClemente.DRUGS/INTOXICATION.OpenContainer,33
OCSD.SanClemente.DRUGS/INTOXICATION.POSSESSIONFORSALEOFNARCOTICS,25
OCSD.SanClemente.DRUGS/INTOXICATION.POSSESSIONFORSLAEOFDESIGNATEDSUBSTANCES,43
OCSD.SanClemente.DRUGS/INTOXICATION.POSSESSIONOFACONTROLLEDSUBSTANCE,33
OCSD.SanClemente.DRUGS/INTOXICATION.PossessionofDrugParaphernalia,646
OCSD.SanClemente.DRUGS/INTOXICATION.PossessionofMarijuanaforSale,3
OCSD.SanClemente.DRUGS/INTOXICATION.PossessionofMethamphetamine,369
OCSD.SanClemente.DRUGS/INTOXICATION.POSSESSIONOFTOLUENE,4
OCSD.SanClemente.DRUGS/INTOXICATION.SALEOFMETHAMPHETAMINE,29
OCSD.SanClemente.DRUGS/INTOXICATION.SALEORTRANSPORTATIONOFACONTROLLEDSUBSTANCE,6
OCSD.SanClemente.DRUGS/INTOXICATION.TRANSPORTINGORSALEOFMETHAMPHETAMINE,8
OCSD.SanClemente.DRUGS/INTOXICATION.UNDERTHEINFLUENCEDRUGS,37
OCSD.SanClemente.PROPERTYDAMAGE,
OCSD.SanClemente.PROPERTYDAMAGE.MALICIOUSMISCHIEFTOAVEHICLE,4
OCSD.SanClemente.PROPERTYDAMAGE.VANDALISMINPROGRESS,407
OCSD.SanClemente.RESISTINGARREST,
OCSD.SanClemente.RESISTINGARREST.RESISTINGARREST,9
OCSD.SanClemente.THEFT/BURGLARY,
OCSD.SanClemente.THEFT/BURGLARY.APPROPRIATIONOFLOSTPROPERTY,31
OCSD.SanClemente.THEFT/BURGLARY.BURGLARYINPROGRESS,213
OCSD.SanClemente.THEFT/BURGLARY.CHECKFRAUD,2
OCSD.SanClemente.THEFT/BURGLARY.COUNTERFITGOODS,1
OCSD.SanClemente.THEFT/BURGLARY.CRIMINALPROFITTEERING,15
OCSD.SanClemente.THEFT/BURGLARY.DEFRAUDINGANINNKEEPER,12
OCSD.SanClemente.THEFT/BURGLARY.ForgeryandCounterfeiting,3
